Date_Session,Program Type,District Name,Mandal Name,School Name,School UDISE Code,Language,Final_Milestone,Student_Count,Expected_Students
2025-08-20,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,10,1,14
2025-08-20,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,36,4
2025-08-20,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,1,6,NA
2025-08-20,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,3,1,NA
2025-08-21,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,20,12
2025-08-21,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,7,12
2025-08-21,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,1,12
2025-08-21,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,1,12
2025-08-21,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,6,5,12
2025-08-21,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,7,1,12
2025-08-21,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,8,2,12
2025-08-21,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,10,1,12
2025-08-21,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,36,14
2025-08-21,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,1,6,NA
2025-08-21,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,3,1,NA
2025-08-22,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,20,NA
2025-08-22,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,7,NA
2025-08-22,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,1,NA
2025-08-22,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,1,NA
2025-08-22,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,6,5,NA
2025-08-22,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,7,1,NA
2025-08-22,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,8,2,NA
2025-08-22,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,10,1,NA
2025-08-22,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,36,NA
2025-08-22,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,1,6,3
2025-08-22,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,3,2,3
2025-08-22,LAB,HOSUR,MULLAINAGAR,GOVERNMENT HIGHER SECONDARY SCHOOL MULLAINAGAR,10023459890,en,5,1,3
2025-08-23,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,20,11
